emp_no,first_name,last_name,birth_date,from_date,to_date,title
10469,Munehiko,Ananiadou,1964-12-22,1992-12-26,9999-01-01,Senior Engineer
10471,Jouko,Yamaashi,1963-11-30,1990-11-18,9999-01-01,Senior Engineer
10476,Kokou,Iisaka,1965-01-01,1987-09-20,9999-01-01,Senior Staff
10493,Maris,Haraldson,1962-01-12,1998-10-29,9999-01-01,Senior Staff
10520,Jenwei,Ecklund,1964-03-06,1996-09-05,9999-01-01,Senior Engineer
10528,Koichi,Lakshmanan,1963-05-16,1993-10-28,9999-01-01,Senior Engineer
10536,Yechiam,Sambasivam,1964-10-29,1988-10-07,9999-01-01,Senior Staff
10537,Stella,Benzmuller,1962-06-29,1996-09-25,9999-01-01,Senior Staff
10544,Ishfaq,Krzyzanowski,1962-02-01,1995-04-29,9999-01-01,Senior Staff
10545,Hauke,dAstous,1963-01-12,1990-06-30,9999-01-01,Senior Engineer
10551,Jeong,Rijsenbrij,1963-10-07,1988-08-06,9999-01-01,Senior Engineer
10553,Rajmohan,Wallrath,1964-02-08,1990-07-22,9999-01-01,Senior Engineer
10556,JoAnna,Taubman,1962-12-31,1992-04-15,9999-01-01,Senior Staff
10558,Hisao,Famili,1964-10-08,1992-04-22,9999-01-01,Senior Engineer
10569,Sreenivas,Bashian,1962-12-03,1987-03-13,9999-01-01,Senior Staff
10585,Sajjad,Willoner,1963-11-10,1994-08-24,9999-01-01,Senior Engineer
10595,Giri,Undy,1964-12-10,1989-11-24,9999-01-01,Senior Engineer
10611,Karsten,Blokdijk,1964-05-11,1989-09-16,9999-01-01,Senior Engineer
10621,Hinrich,Siepmann,1962-02-03,1992-02-10,9999-01-01,Senior Engineer
10656,Sanjay,Litzkow,1962-06-18,1988-06-21,9999-01-01,Senior Engineer
10664,Xumin,Peck,1962-06-02,1989-12-24,9999-01-01,Senior Engineer
10666,Zhonghua,Reeker,1964-10-03,1989-05-20,9999-01-01,Senior Staff
10670,Shunichi,McAffer,1962-04-23,1988-03-23,9999-01-01,Senior Staff
10686,Avishai,Azadmanesh,1963-05-25,1987-05-17,9999-01-01,Senior Engineer
10688,Xiaopeng,Lanphier,1964-02-28,1986-04-13,9999-01-01,Senior Staff
10690,Matt,Jumpertz,1962-09-06,1995-10-04,9999-01-01,Senior Engineer
10699,Hatim,Deverell,1964-02-02,1985-11-17,9999-01-01,Senior Engineer
10705,Hironobu,Wynblatt,1963-06-17,1990-07-18,9999-01-01,Senior Staff
10711,Arvind,DuBourdieux,1963-06-20,1991-06-21,9999-01-01,Senior Engineer
10732,Morris,Andreotta,1962-04-22,1994-12-21,9999-01-01,Senior Engineer
10736,Gurbir,Hellwagner,1962-07-09,1991-09-26,9999-01-01,Senior Engineer
10748,Yuchang,Francisci,1964-04-12,1992-04-04,9999-01-01,Senior Staff
10752,Byong,Conde,1964-07-18,1993-05-28,9999-01-01,Senior Engineer
10760,Phillip,Dratva,1963-05-27,1997-08-22,9999-01-01,Senior Staff
10785,Keiichiro,Marzano,1963-02-09,1994-11-11,9999-01-01,Senior Engineer
10786,Patricia,dAstous,1964-05-19,2001-12-10,9999-01-01,Senior Engineer
10794,Teunis,Berztiss,1962-06-26,1994-05-24,9999-01-01,Senior Staff
10807,Munehiro,Zallocco,1964-06-23,1999-10-19,9999-01-01,Senior Staff
10809,Shim,Feldhoffer,1962-01-06,1988-02-25,9999-01-01,Senior Engineer
10832,Hidde,Bergere,1964-08-29,1986-10-11,9999-01-01,Senior Staff
10877,Subir,Biron,1964-09-11,1986-06-06,9999-01-01,Senior Staff
10880,Weiye,Nitsche,1962-02-11,1992-01-11,9999-01-01,Senior Engineer
10886,Sushant,Begiun,1964-09-30,1995-03-26,9999-01-01,Senior Engineer
10890,Ramzi,Furudate,1963-04-13,1990-03-10,9999-01-01,Senior Staff
10907,JiYoung,Luks,1963-09-26,1988-12-25,9999-01-01,Senior Staff
10933,Juyoung,Seghrouchni,1965-01-24,1993-08-02,9999-01-01,Senior Engineer
10937,Anyuan,Nanard,1964-09-11,1991-05-03,9999-01-01,Senior Engineer
10951,Marco,Iisaku,1962-01-20,1989-07-06,9999-01-01,Senior Staff
10967,Eran,Adachi,1962-10-01,1993-08-01,9999-01-01,Senior Engineer
10975,Peternela,Birnbaum,1962-07-27,1997-01-14,9999-01-01,Senior Engineer
10980,Filipp,Munawer,1963-11-10,1989-01-04,9999-01-01,Senior Engineer
10982,Yishay,Decleir,1964-02-27,1989-11-11,9999-01-01,Senior Staff
10995,Chenye,Hertweck,1963-02-26,1997-07-19,9999-01-01,Senior Staff
11022,Apostol,Pintelas,1964-02-02,1993-10-18,9999-01-01,Senior Staff
11029,Georgi,Itzfeldt,1962-07-12,1992-12-27,9999-01-01,Senior Staff
11041,Stamatina,Matheson,1964-01-12,1998-01-29,9999-01-01,Senior Engineer
11058,Shigeaki,Cyre,1962-04-24,1985-06-07,9999-01-01,Senior Staff
11096,Shugo,Zallocco,1962-02-21,1994-06-08,9999-01-01,Senior Engineer
11108,Danae,Grabner,1962-04-15,1992-06-12,9999-01-01,Senior Staff
11142,Moheb,Raney,1964-11-19,1993-11-04,9999-01-01,Senior Engineer
11172,Kristian,Sudkamp,1963-06-25,2000-06-20,9999-01-01,Senior Staff
11182,Tze,Steinauer,1962-10-29,1994-12-06,9999-01-01,Senior Engineer
11193,Val,Kumaresan,1964-08-13,1998-01-28,9999-01-01,Senior Staff
11225,Maria,Schicker,1963-04-25,1996-10-17,9999-01-01,Senior Engineer
11235,Larisa,Schueller,1964-11-13,1998-11-09,9999-01-01,Senior Engineer
11236,Marek,Orlowska,1963-01-27,1995-03-23,9999-01-01,Senior Engineer
11238,Kwan,Chenoweth,1962-12-28,1999-02-14,9999-01-01,Senior Engineer
11262,Bokyung,Melski,1962-12-24,1994-04-30,9999-01-01,Senior Staff
11264,Uma,Oehlmann,1964-03-15,1986-10-09,9999-01-01,Senior Engineer
11270,Gina,Falster,1962-10-10,1989-09-04,9999-01-01,Senior Staff
11286,Joydip,Gini,1964-12-04,1988-02-16,9999-01-01,Senior Staff
11307,Mohd,Dratva,1963-11-08,1995-04-30,9999-01-01,Senior Staff
11313,Paraskevi,Kusalik,1962-06-21,1986-02-28,9999-01-01,Senior Staff
11318,Gopalakrishnan,Unno,1964-09-09,1986-01-25,9999-01-01,Senior Staff
11346,Jungsoon,Fiebach,1962-04-25,1992-06-11,9999-01-01,Senior Staff
11348,Vishu,Kroll,1962-04-26,1991-10-02,9999-01-01,Senior Staff
11361,Zhonghui,Birdsall,1962-12-07,1997-01-31,9999-01-01,Senior Engineer
11362,Tooru,Hockney,1963-11-24,1987-10-29,9999-01-01,Senior Engineer
11363,Jenwei,Milicia,1962-04-27,1986-03-16,9999-01-01,Senior Staff
11394,Masadi,Uhrik,1964-01-02,1988-12-20,9999-01-01,Senior Staff
11407,Thanasis,Thebaut,1962-01-11,1991-05-06,9999-01-01,Senior Staff
11411,Shigehito,Giaccio,1962-04-06,1992-05-17,9999-01-01,Senior Staff
11443,Szabolcs,Nivat,1962-05-30,1989-08-15,9999-01-01,Senior Staff
11444,Sangeeta,Leuchs,1963-11-17,1992-01-01,9999-01-01,Senior Engineer
11478,Nidapan,Ginneken,1962-03-18,1999-09-10,9999-01-01,Senior Staff
11488,Houman,Veldwijk,1962-11-18,1987-08-25,9999-01-01,Senior Engineer
11489,Sandeepan,Yeung,1962-11-12,1991-03-24,9999-01-01,Senior Staff
11492,Menkae,Mikschl,1962-07-02,1994-05-22,9999-01-01,Senior Engineer
11495,Shin,Barriga,1964-01-02,1989-09-13,9999-01-01,Senior Staff
11504,Saeed,Ananiadou,1962-06-16,1990-09-30,9999-01-01,Senior Engineer
11514,Georgy,Iwayama,1963-08-17,1990-05-14,9999-01-01,Senior Engineer
11544,Elzbieta,Thimonier,1964-09-05,1996-10-22,9999-01-01,Senior Staff
11545,Bartek,Lieblein,1962-08-01,1986-09-19,9999-01-01,Senior Engineer
11551,Subhrajyoti,Gonthier,1962-08-28,1986-05-09,9999-01-01,Senior Engineer
11604,Deborah,Baar,1962-07-11,1990-12-11,9999-01-01,Senior Engineer
11610,Eirik,Sidhu,1962-07-17,1985-10-18,9999-01-01,Senior Engineer
11639,Khatoun,Herath,1964-05-02,1987-02-18,9999-01-01,Senior Engineer
11653,Mohammed,Ananiadou,1963-05-06,1993-02-26,9999-01-01,Senior Engineer
11670,Evgueni,Kroon,1964-09-25,1985-05-17,9999-01-01,Senior Staff
11687,Owen,Peak,1963-02-28,1992-03-22,9999-01-01,Senior Engineer
11707,Tooru,Hettesheimer,1964-07-18,1994-04-07,9999-01-01,Senior Engineer
11716,Anneli,Leijenhorst,1962-01-24,1989-05-09,9999-01-01,Senior Engineer
11741,Valeri,Vigier,1962-05-27,1989-02-04,9999-01-01,Senior Staff
11752,Bingning,Etalle,1964-11-11,1992-11-10,9999-01-01,Senior Staff
11757,Jackson,Meriste,1964-05-22,1987-04-07,9999-01-01,Senior Engineer
11761,Bartek,Aamodt,1964-07-17,1991-06-12,9999-01-01,Senior Staff
11780,Sugwoo,Sewelson,1963-05-04,1999-11-10,9999-01-01,Senior Engineer
11789,Udi,Khasidashvili,1962-05-12,1989-08-18,9999-01-01,Senior Staff
11796,Sachem,Egerstedt,1963-05-24,1989-01-23,9999-01-01,Senior Staff
11808,Morrie,Rosiles,1962-09-03,1986-05-17,9999-01-01,Senior Engineer
11816,Masako,Besselaar,1964-04-26,1991-08-05,9999-01-01,Senior Staff
11840,Jayson,Hofman,1962-07-27,1986-12-21,9999-01-01,Senior Staff
11856,Gao,Alpin,1962-12-18,1989-05-23,9999-01-01,Senior Engineer
11884,Patricia,Moehrke,1963-04-10,1998-06-18,9999-01-01,Senior Staff
11912,Kristian,Giaccio,1964-08-15,1994-10-06,9999-01-01,Senior Engineer
11955,Domenico,Eastman,1964-10-17,1995-04-25,9999-01-01,Senior Engineer
11968,Mitchel,Dayang,1964-08-13,1995-08-08,9999-01-01,Senior Engineer
11974,Vojin,Sabnani,1963-10-13,1989-07-23,9999-01-01,Senior Staff
11984,Vasilii,Luit,1962-06-04,1997-05-22,9999-01-01,Senior Engineer
12019,Mads,Ossenbruggen,1962-09-05,1986-02-17,9999-01-01,Senior Staff
12031,Achilleas,Vendrig,1962-01-11,1987-02-10,9999-01-01,Senior Engineer
12039,Kazuhide,Junet,1964-12-03,1988-04-04,9999-01-01,Senior Staff
12056,Nirmal,Genther,1962-09-27,1988-06-02,9999-01-01,Senior Engineer
12057,Vishv,Speckmann,1962-08-14,1990-09-22,9999-01-01,Senior Staff
12058,Qunsheng,Khamsi,1964-02-18,1991-08-06,9999-01-01,Senior Engineer
12064,Heping,Silva,1962-01-22,1986-03-14,9999-01-01,Senior Engineer
12065,Moto,Roohalamini,1964-04-10,1987-06-18,9999-01-01,Senior Engineer
12066,Junichi,Deville,1963-06-01,1985-09-20,9999-01-01,Senior Staff
12067,Doowon,Kalsbeek,1962-04-19,1991-12-17,9999-01-01,Senior Staff
12072,Rosalie,Larfeldt,1963-03-13,1990-12-17,9999-01-01,Senior Engineer
12084,Morris,Krohm,1962-02-13,1997-01-01,9999-01-01,Senior Engineer
12085,Hugh,Rouquie,1964-04-01,1986-07-03,9999-01-01,Senior Staff
12096,Weiwu,Schlenzig,1964-04-12,1994-08-17,9999-01-01,Senior Staff
12108,Akeel,Frezza,1963-06-14,1992-12-13,9999-01-01,Senior Engineer
12126,Vugranam,Parveen,1963-10-14,1992-12-01,9999-01-01,Senior Engineer
12139,Guangming,Senzako,1964-10-31,1994-03-07,9999-01-01,Senior Engineer
12152,Amalendu,Nyrup,1964-01-18,2000-08-16,9999-01-01,Senior Staff
12155,Keiichiro,Glinert,1965-01-21,1993-09-16,9999-01-01,Senior Engineer
12193,Lucian,Oxman,1963-09-18,1989-08-10,9999-01-01,Senior Staff
12199,Huan,Poupard,1962-11-04,1985-06-22,9999-01-01,Senior Staff
12208,Bartek,Passino,1962-02-20,2000-08-24,9999-01-01,Senior Staff
12228,Sreenivas,Melter,1963-02-23,1995-04-12,9999-01-01,Senior Engineer
12279,Renee,Brookman,1962-06-30,2001-03-20,9999-01-01,Senior Engineer
12301,Oksana,Akazan,1962-02-27,1996-03-31,9999-01-01,Senior Staff
12302,Matt,Plessier,1962-02-14,1987-01-28,9999-01-01,Senior Staff
12315,Haldun,Binding,1963-01-13,1989-08-31,9999-01-01,Senior Staff
12322,Mohammed,Kambil,1962-04-02,1996-11-06,9999-01-01,Senior Engineer
12324,Fun,Delgrange,1963-01-14,1990-05-25,9999-01-01,Senior Engineer
12350,Somnath,Swan,1964-03-12,1996-08-25,9999-01-01,Senior Engineer
12383,Lenore,Pews,1963-01-22,1995-03-02,9999-01-01,Senior Engineer
12404,Manu,Kulisch,1964-11-16,1985-12-14,9999-01-01,Senior Engineer
12408,Rasiah,Sudkamp,1965-01-10,1995-04-18,9999-01-01,Senior Engineer
12442,Iara,Lanteri,1963-12-20,1989-11-27,9999-01-01,Senior Engineer
12444,Monique,Reinhard,1962-11-29,1987-08-16,9999-01-01,Senior Staff
12446,Xiaoqiang,Keustermans,1964-01-05,1987-11-06,9999-01-01,Senior Staff
12449,Honesty,Iisaku,1964-04-20,1995-06-18,9999-01-01,Senior Staff
12461,Tesuro,Silva,1964-06-01,1998-08-15,9999-01-01,Senior Engineer
12472,Leah,Madeira,1962-07-19,1985-12-10,9999-01-01,Senior Engineer
12477,Chiranjit,Chleq,1962-02-23,1991-06-25,9999-01-01,Senior Engineer
12481,Ipke,Uludag,1963-07-09,1985-05-11,9999-01-01,Senior Engineer
12486,Joydip,Morrin,1964-09-08,1996-10-16,9999-01-01,Senior Engineer
12548,Chenxi,Baak,1964-06-25,1990-06-28,9999-01-01,Senior Engineer
12605,Petter,Feldmann,1964-10-26,1990-02-19,9999-01-01,Senior Staff
12660,Stamatina,Escriba,1963-01-18,1990-11-23,9999-01-01,Senior Staff
12661,Berry,Lung,1962-03-04,1993-12-12,9999-01-01,Senior Engineer
12677,Christoper,Yavatkar,1963-01-23,1996-02-15,9999-01-01,Senior Staff
12704,Gino,Tetzlaff,1962-09-08,1994-07-16,9999-01-01,Senior Staff
12711,Yechiam,Jiafu,1964-08-12,1986-11-21,9999-01-01,Senior Staff
12745,Ziyad,Passafiume,1963-06-03,1991-11-09,9999-01-01,Senior Staff
12771,Erez,Luks,1964-02-06,1988-06-02,9999-01-01,Senior Staff
12793,Basil,Covnot,1963-07-08,1989-11-11,9999-01-01,Senior Engineer
12797,Takushi,Turnbull,1964-04-27,1991-11-05,9999-01-01,Senior Engineer
12804,Marlo,Rosti,1962-03-20,1987-02-15,9999-01-01,Senior Staff
12823,Pranav,Lanteri,1962-08-15,1985-05-11,9999-01-01,Senior Engineer
12826,Claude,Mandell,1962-02-13,1990-03-26,9999-01-01,Senior Staff
12832,Mabo,Cusworth,1962-10-24,1988-04-25,9999-01-01,Senior Staff
12833,Jaideep,Tibblin,1962-02-01,1987-06-04,9999-01-01,Senior Engineer
12835,Mats,Krupka,1963-12-14,1990-08-14,9999-01-01,Senior Engineer
12838,Danel,Avouris,1962-12-18,1986-09-24,9999-01-01,Senior Staff
12842,Steen,Stellhorn,1963-04-15,1992-09-11,9999-01-01,Senior Engineer
12845,Florian,Baar,1963-08-25,1994-10-25,9999-01-01,Senior Staff
12874,Patricio,Ramamoorthy,1964-03-05,1995-02-12,9999-01-01,Senior Staff
12875,Giri,Validov,1962-03-26,1994-02-04,9999-01-01,Senior Staff
12886,Aimee,Liesche,1962-04-06,1993-04-26,9999-01-01,Senior Staff
12896,Mircea,Delgrande,1963-10-12,1986-10-29,9999-01-01,Senior Engineer
12920,Tetsushi,Legleitner,1964-05-06,1998-11-23,9999-01-01,Senior Engineer
12925,Lijia,Erez,1963-04-21,1992-01-23,9999-01-01,Senior Engineer
12932,Mingsen,Sankaranarayanan,1963-11-18,1999-05-03,9999-01-01,Senior Engineer
12954,Dinkar,Walston,1964-11-10,1986-05-08,9999-01-01,Senior Staff
12988,Christoph,Lanzelotte,1962-12-02,1999-04-27,9999-01-01,Senior Engineer
12996,Khalil,Madeira,1964-12-07,1992-08-26,9999-01-01,Senior Staff
12999,Taizo,Koyama,1963-10-13,1993-11-27,9999-01-01,Senior Staff
13018,Toshimi,Moehrke,1964-03-14,1987-05-10,9999-01-01,Senior Staff
13020,Shigeichiro,Suppi,1962-06-26,1987-07-06,9999-01-01,Senior Staff
13028,Mayumi,Siksek,1963-08-21,1985-10-28,9999-01-01,Senior Staff
13035,Waiman,Isaac,1962-07-17,1991-12-31,9999-01-01,Senior Staff
13039,Alain,Akazan,1963-08-27,1985-10-29,9999-01-01,Senior Engineer
13051,Gad,Feinberg,1962-12-20,1993-12-11,9999-01-01,Senior Engineer
13072,Jaques,Denis,1963-08-13,1993-05-06,9999-01-01,Senior Engineer
13109,Stevo,Makrucki,1963-07-02,1991-10-15,9999-01-01,Senior Engineer
13119,Pranav,Anido,1963-08-04,1994-10-24,9999-01-01,Senior Engineer
13129,Martijn,Sigstam,1964-04-15,1997-11-17,9999-01-01,Senior Staff
13154,Shan,Soicher,1963-06-19,1988-07-29,9999-01-01,Senior Staff
13162,Shaw,Goodrum,1964-12-26,1989-05-19,9999-01-01,Senior Staff
13163,Matt,Heping,1963-12-11,1987-03-31,9999-01-01,Senior Engineer
13180,Kazuhisa,Dechter,1962-05-24,1992-05-04,9999-01-01,Senior Staff
13190,Stepehn,Kowalchuk,1962-11-08,1986-07-17,9999-01-01,Senior Staff
13195,Toshiki,Baak,1964-06-29,1986-03-02,9999-01-01,Senior Engineer
13212,Thodoros,Boyle,1963-08-03,1992-02-05,9999-01-01,Senior Staff
13218,Junichi,Attimonelli,1963-12-20,1999-03-30,9999-01-01,Senior Engineer
13226,Saeko,Solares,1962-06-26,2001-06-24,9999-01-01,Senior Engineer
13257,Francoise,Poehlman,1963-06-13,1986-07-12,9999-01-01,Senior Staff
13268,Munehiro,Yurov,1964-04-29,1992-11-04,9999-01-01,Senior Staff
13273,Alagu,Iacovou,1962-03-03,1990-06-15,9999-01-01,Senior Engineer
13280,Gunilla,Cappelletti,1963-05-31,1985-03-30,9999-01-01,Senior Staff
13292,Bokyung,Alpin,1962-04-04,1996-08-03,9999-01-01,Senior Staff
13297,Sadok,Toyoshima,1963-07-06,1994-01-19,9999-01-01,Senior Staff
13348,Leaf,Wiegley,1964-04-25,1989-08-06,9999-01-01,Senior Staff
13353,Moie,Tsunoo,1962-09-11,1991-05-03,9999-01-01,Senior Engineer
13364,Shuzo,Andreotta,1962-06-26,1994-03-19,9999-01-01,Senior Staff
13367,Xumin,Swiler,1962-07-14,1987-08-30,9999-01-01,Senior Staff
13370,Nidapan,Macedo,1964-08-22,1990-06-23,9999-01-01,Senior Staff
13391,Jaroslava,Orsini,1963-06-15,1993-10-16,9999-01-01,Senior Staff
13399,Ute,Gischer,1962-04-10,1990-04-23,9999-01-01,Senior Engineer
13428,Sanjai,Kalloufi,1963-11-17,1993-10-29,9999-01-01,Senior Staff
13459,Eric,Lupu,1962-04-29,1988-05-20,9999-01-01,Senior Staff
13483,Arco,Ananiadou,1964-04-20,1990-01-09,9999-01-01,Senior Engineer
13487,Geoffrey,Claffy,1962-08-30,1987-03-08,9999-01-01,Senior Staff
13510,Stamatina,Kakkad,1963-11-11,1992-04-28,9999-01-01,Senior Staff
13528,Fumitaka,Liesche,1964-02-21,2002-02-03,9999-01-01,Senior Staff
13541,Pasqua,Peral,1962-01-03,1992-05-27,9999-01-01,Senior Engineer
13542,Fun,Budinsky,1962-01-05,1995-09-09,9999-01-01,Senior Staff
13555,Lijia,Matteis,1964-08-20,1988-11-07,9999-01-01,Senior Staff
13558,Raimond,Molberg,1964-10-13,1987-06-10,9999-01-01,Senior Staff
13561,Fai,Thebaut,1962-04-30,1985-07-05,9999-01-01,Senior Engineer
13563,Valter,Pashtan,1963-03-11,1987-04-17,9999-01-01,Senior Engineer
13572,Honglan,Beutelspacher,1964-03-13,1986-09-15,9999-01-01,Senior Staff
13579,Basem,Passino,1963-10-13,1987-03-12,9999-01-01,Senior Engineer
13590,Sashi,Showalter,1963-02-04,1986-03-14,9999-01-01,Senior Engineer
13595,Feipei,Usery,1963-02-08,1991-03-07,9999-01-01,Senior Staff
13609,Aloke,Muhling,1963-01-02,1994-08-14,9999-01-01,Senior Engineer
13619,Fatemeh,Walston,1962-04-29,1992-10-12,9999-01-01,Senior Engineer
13646,Karlis,Chinen,1962-03-16,1999-09-03,9999-01-01,Senior Engineer
13656,Oldrich,Ferretti,1964-08-19,1995-07-17,9999-01-01,Senior Staff
13664,Snehasis,Provine,1962-08-05,1995-06-06,9999-01-01,Senior Engineer
13686,Parke,Sadowsky,1964-04-18,1990-09-16,9999-01-01,Senior Staff
13699,Zhiguo,Kamber,1962-12-10,1999-11-24,9999-01-01,Senior Engineer
13707,Parviz,Krzyzanowski,1963-04-28,1993-12-17,9999-01-01,Senior Engineer
13715,Licheng,Range,1963-10-11,1993-10-09,9999-01-01,Senior Staff
13723,Magy,Schnelling,1962-01-04,1992-09-13,9999-01-01,Senior Staff
13724,Wuxu,Vrecion,1962-09-06,1999-12-23,9999-01-01,Senior Engineer
13729,Shahab,Farrel,1964-07-30,1988-10-12,9999-01-01,Senior Engineer
13756,Elliott,Benveniste,1962-01-27,1990-01-24,9999-01-01,Senior Engineer
13757,Soenke,Demir,1963-07-13,1986-02-22,9999-01-01,Senior Engineer
13765,Raimond,Mitzlaff,1964-07-27,1990-07-18,9999-01-01,Senior Staff
13770,Eirik,Koyama,1962-09-20,1990-04-26,9999-01-01,Senior Staff
13774,Ramzi,Barbanera,1962-04-14,1996-10-04,9999-01-01,Senior Staff
13791,Alair,Middleton,1963-11-14,1994-12-12,9999-01-01,Senior Engineer
13802,Saniya,Benzmuller,1964-01-08,1998-11-18,9999-01-01,Senior Staff
13806,Abdelwaheb,Nitsch,1964-02-09,1990-02-05,9999-01-01,Senior Engineer
13808,Becky,Stentiford,1963-03-17,1986-03-08,9999-01-01,Senior Staff
13816,Miquel,Maksimenko,1964-03-09,1992-09-17,9999-01-01,Senior Engineer
13827,Subbu,Castellani,1962-05-09,1989-04-08,9999-01-01,Senior Staff
13860,Wojceich,Papastamatiou,1964-09-18,1988-07-27,9999-01-01,Senior Staff
13872,Breannda,Gilg,1963-03-03,1995-10-16,9999-01-01,Senior Engineer
13876,Fatemeh,Swan,1964-09-05,1995-05-03,9999-01-01,Senior Staff
13908,Nechama,Koprowski,1964-12-21,1987-11-26,9999-01-01,Senior Engineer
13939,Reinhold,Cherinka,1963-07-25,1992-10-30,9999-01-01,Senior Staff
13950,Palash,Kusakabe,1962-11-19,1996-06-21,9999-01-01,Senior Engineer
13961,Munir,Hempstead,1964-06-22,1988-10-01,9999-01-01,Senior Engineer
13967,Ymte,Pettis,1963-05-03,1990-02-18,9999-01-01,Senior Engineer
13971,Felicidad,Janetzko,1963-01-14,1995-07-15,9999-01-01,Senior Engineer
14010,Sushant,Preusig,1963-12-21,1990-03-08,9999-01-01,Senior Staff
14026,Luerbio,Fontan,1963-03-29,1989-04-03,9999-01-01,Senior Engineer
14029,Doohun,Luders,1963-10-20,1997-11-11,9999-01-01,Senior Staff
14036,Bogdan,Schaad,1962-03-20,1987-10-07,9999-01-01,Senior Staff
14044,Muneo,Peltason,1963-05-09,1988-04-04,9999-01-01,Senior Engineer
14053,Kazuhiro,Haraldson,1964-01-10,1996-05-13,9999-01-01,Senior Staff
14056,Moto,Ferriere,1963-07-19,1993-06-21,9999-01-01,Senior Engineer
14057,Boriana,Beidas,1962-05-16,1985-03-24,9999-01-01,Senior Engineer
14062,Khalid,Luon,1964-12-16,2000-11-13,9999-01-01,Senior Engineer
14081,Alain,Fontet,1964-05-04,1998-09-04,9999-01-01,Senior Staff
14120,Horward,Rabejac,1963-06-18,1985-08-11,9999-01-01,Senior Engineer
14152,Vishu,Cesareni,1962-10-20,1989-01-30,9999-01-01,Senior Engineer
14154,Susumu,Mapelli,1962-03-17,1996-11-14,9999-01-01,Senior Staff
14158,Caolyn,Setiz,1965-01-22,1990-02-06,9999-01-01,Senior Staff
14185,Garnik,Swiler,1964-11-06,1988-08-01,9999-01-01,Senior Staff
14201,Chirstian,Carrere,1964-07-03,1995-07-01,9999-01-01,Senior Engineer
14210,Arvind,Poujol,1962-12-30,1993-06-10,9999-01-01,Senior Staff
14239,Martijn,Wallrath,1964-09-24,1989-10-16,9999-01-01,Senior Staff
14264,Marco,Dulin,1962-08-10,1992-12-29,9999-01-01,Senior Staff
14271,Rosita,Bernatsky,1964-05-17,1989-02-17,9999-01-01,Senior Staff
14278,Kazuhiro,Schapiro,1964-10-25,1991-11-29,9999-01-01,Senior Staff
14303,Weicheng,Deverell,1963-07-13,1989-03-18,9999-01-01,Senior Engineer
14305,Duri,Bazelow,1963-06-25,1994-06-15,9999-01-01,Senior Engineer
14312,Demin,Grabner,1963-07-08,1989-03-18,9999-01-01,Senior Engineer
14343,Pranav,Rotem,1964-04-22,1994-06-29,9999-01-01,Senior Staff
14352,Sudhanshu,Braccini,1964-07-03,1996-10-06,9999-01-01,Senior Engineer
14356,Remko,Zeidenstein,1964-04-15,1985-06-04,9999-01-01,Senior Engineer
14362,Michaela,Kleiser,1963-10-28,1986-09-30,9999-01-01,Senior Staff
14371,Yongdong,Rousseau,1962-06-06,1998-08-07,9999-01-01,Senior Engineer
14374,Berthier,Tomescu,1962-12-28,1986-03-20,9999-01-01,Senior Engineer
